Entity,Year,Fossil by continent
Bulgaria,2019,145.2958069
Bulgaria,2020,129.2498474
Bulgaria,2021,148.1595612
CIS (BP),1965,6670.795898
CIS (BP),1966,7078.84082
CIS (BP),1967,7462.688477
CIS (BP),1968,7703.69043
CIS (BP),1969,8023.520508
CIS (BP),1970,8429.682617
CIS (BP),1971,8854.193359
CIS (BP),1972,9325.470703
CIS (BP),1973,9807.642578
CIS (BP),1974,10323.31445
CIS (BP),1975,10852.62402
CIS (BP),1976,11237.64063
CIS (BP),1977,11694.83398
CIS (BP),1978,12155.22168
CIS (BP),1979,12478.67969
CIS (BP),1980,12697.96484
CIS (BP),1981,12938.9375
CIS (BP),1982,13279.26367
CIS (BP),1983,13527.69922
CIS (BP),1984,13912.21875
CIS (BP),1985,11114.39844
CIS (BP),1986,11372.80859
CIS (BP),1987,11675.37598
CIS (BP),1988,11882.87793
CIS (BP),1989,11922.72266
CIS (BP),1990,11786.83008
CIS (BP),1991,11560.32227
CIS (BP),1992,10981.13672
CIS (BP),1993,10073.50781
CIS (BP),1994,9151.473633
CIS (BP),1995,8564.614258
CIS (BP),1996,8284.941406
CIS (BP),1997,7771.943848
CIS (BP),1998,7767.282715
CIS (BP),1999,7811.284668
CIS (BP),2000,7858.487305
CIS (BP),2001,8000.244141
CIS (BP),2002,7998.363281
CIS (BP),2003,8190.291504
CIS (BP),2004,8306.396484
CIS (BP),2005,8328.882813
CIS (BP),2006,8675.050781
CIS (BP),2007,8779.710938
CIS (BP),2008,8833.928711
CIS (BP),2009,8396.738281
CIS (BP),2010,8772.447266
CIS (BP),2011,9209.71875
CIS (BP),2012,9304.116211
CIS (BP),2013,9111.84375
CIS (BP),2014,9189.318359
CIS (BP),2015,9011.910156
CIS (BP),2016,9128.750977
CIS (BP),2017,9215.149414
CIS (BP),2018,9684.197266
CIS (BP),2019,9629.223633
CIS (BP),2020,9141.771484
CIS (BP),2021,9898.15625
Canada,1965,1039.488037
Canada,1966,1090.9375
Canada,1967,1149.845581
Canada,1968,1240.243408
Canada,1969,1298.411865
Canada,1970,1398.011353
Canada,1971,1434.642334
Canada,1972,1516.705933
Canada,1973,1633.670166
Canada,1974,1658.759033
Canada,1975,1654.568237
Canada,1976,1716.394775
Canada,1977,1806.411865
Canada,1978,1796.422974
Canada,1979,1833.966309
Canada,1980,1856.985229
Canada,1981,1789.416992
Canada,1982,1736.720703
Canada,1983,1669.300415
Canada,1984,1764.493042
Canada,1985,1782.314453
Canada,1986,1758.202148
Canada,1987,1815.98291
Canada,1988,1944.691895
Canada,1989,2032.370361
Canada,1990,1916.015625
Canada,1991,1860.179443
Canada,1992,1928.259521
Canada,1993,1946.970825
Canada,1994,2009.355713
Canada,1995,2095.399658
Canada,1996,2139.879883
Canada,1997,2201.376953
Canada,1998,2231.210205
Canada,1999,2293.156006
Canada,2000,2356.577148
Canada,2001,2350.008057
Canada,2002,2428.988525
Canada,2003,2495.392822
Canada,2004,2508.972656
Canada,2005,2469.932617
Canada,2006,2464.814697
Canada,2007,2579.575439
Canada,2008,2506.01709
Canada,2009,2392.138672
Canada,2010,2471.70752
Canada,2011,2535.39624
Canada,2012,2528.76416
Canada,2013,2576.817871
Canada,2014,2607.894531
Canada,2015,2617.32666
Canada,2016,2544.800293
Canada,2017,2591.320801
Canada,2018,2653.26709
Canada,2019,2648.054199
Canada,2020,2421.131836
Canada,2021,2483.219971
Central America (BP),1971,49.31460953
Central America (BP),1972,52.21628189
Central America (BP),1973,57.53982925
Central America (BP),1974,60.88379669
Central America (BP),1975,68.05941772
Central America (BP),1976,71.20767212
Central America (BP),1977,76.0357132
Central America (BP),1978,77.04689026
Central America (BP),1979,77.82116699
Central America (BP),1980,72.7705307
Central America (BP),1981,70.38079071
Central America (BP),1982,70.20890045
Central America (BP),1983,69.14987183
Central America (BP),1984,70.43500519
Central America (BP),1985,71.9490509
Central America (BP),1986,71.86978912
Central America (BP),1987,77.2437439
Central America (BP),1988,74.75820923
Central America (BP),1989,78.37799835
Central America (BP),1990,80.78710175
Central America (BP),1991,88.18969727
Central America (BP),1992,100.2050095
Central America (BP),1993,107.0285263
Central America (BP),1994,117.1032333
Central America (BP),1995,129.5684814
Central America (BP),1996,127.1086578
Central America (BP),1997,137.2937622
Central America (BP),1998,157.3409729
Central America (BP),1999,155.7060242
Central America (BP),2000,162.45961
Central America (BP),2001,173.9957275
Central America (BP),2002,174.2798004
Central America (BP),2003,182.0843201
Central America (BP),2004,186.2224426
Central America (BP),2005,183.8798676
Central America (BP),2006,194.6504211
Central America (BP),2007,206.0137939
Central America (BP),2008,206.916275
Central America (BP),2009,203.935318
Central America (BP),2010,207.0738525
Central America (BP),2011,221.4308319
Central America (BP),2012,225.5354919
Central America (BP),2013,227.8250122
Central America (BP),2014,235.9569244
Central America (BP),2015,258.4548035
Central America (BP),2016,268.6243286
Central America (BP),2017,268.0272217
Central America (BP),2018,258.243866
Central America (BP),2019,284.5449524
Central America (BP),2020,239.7667236
Central America (BP),2021,273.0701599
Chile,1965,61.33310318
Chile,1966,65.95578766
Chile,1967,67.22486115
Chile,1968,68.94902039
Chile,1969,73.74229431
Chile,1970,77.66564941
Chile,1971,83.34835815
Chile,1972,83.9631958
Chile,1973,80.51966095
Chile,1974,77.35289001
Chile,1975,67.80952454
Chile,1976,71.56757355
Chile,1977,73.86149597
Chile,1978,78.53743744
Chile,1979,81.28626251
Chile,1980,83.41148376
Chile,1981,85.3762207
Chile,1982,73.9803772
Chile,1983,74.54759979
Chile,1984,78.27532196
Chile,1985,76.74448395
Chile,1986,79.23917389
Chile,1987,82.05496979
Chile,1988,96.43222809
Chile,1989,115.7003021
Chile,1990,126.1668091
Chile,1991,132.8246765
Chile,1992,139.1295166
Chile,1993,148.7303009
Chile,1994,159.5541229
